time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,ped_crossing_demand,avg_ped_speed,stopped_pedestrians,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id,cycle_time,phase_1_green,phase_2_green,phase_3_green,phase_4_green,pedestrian_green,yellow_time,all_red_time
0,0.0,15,13,2,5,0,0,5.19609484779002,0.7180818622572804,6.261935822075993,33.33333333333333,0,0,0,0.0015613884708168,30.040053404539385,0.6467210357987145,263,0,0.0,0.0,0,0.0,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,0,119.0,40.0,22.0,25.0,11.0,9.5,3,2
1,30.0,13,10,3,4,0,0,5.204772712428815,0.4389291515723238,6.776314017986863,30.76923076923077,0,0,0,0.001458175925298,26.0347129506008,0.5518052072004432,77,0,0.0,0.0,0,0.0,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,0,80.0,19.5,16.0,13.0,8.0,7.5,3,2
2,60.0,11,11,0,2,0,0,7.360484478281161,5.514307980662669,7.636252115076527,18.181818181818183,0,0,0,0.0013980796208144,22.029372496662216,0.4028446553078608,80,0,0.0,0.0,0,0.0,0,1,4.254188006374875,8,1,0.8660254037844387,-0.4999999999999998,0,65.5,17.0,10.5,11.0,7.0,7.5,3,2
3,90.0,11,10,1,2,0,0,5.214184039894375,0.0,6.458038611676303,18.181818181818183,0,0,0,0.0012884536751017,22.029372496662216,0.4341057096191832,41,0,0.0,0.0,0,0.0,0,4,4.361035756322645,8,1,0.8660254037844387,-0.4999999999999998,0,91.0,30.0,20.0,13.0,10.0,9.5,3,2
4,120.0,17,16,1,2,0,0,8.008386806399312,9.393367783627976,6.760800957018814,11.76470588235294,0,0,0,0.0018226674245411,34.04539385847797,0.6264304358615757,196,1,0.0,0.0,1,1.787706949232637,0,3,4.157749309259756,8,2,0.8660254037844387,-0.4999999999999998,0,60.0,14.0,9.0,10.0,8.0,20.5,3,2
5,150.0,15,14,1,4,0,0,6.79114285991214,4.440301708944402,7.074923114138102,26.666666666666668,0,0,0,0.001676037451852,30.040053404539385,0.5702295008707415,124,0,0.0,0.0,0,0.0,0,2,5.760053104479804,8,2,0.8660254037844387,-0.4999999999999998,0,98.0,22.5,18.0,20.5,15.5,9.0,3,2
6,180.0,12,10,2,3,0,0,5.721090621480986,0.0272929899424742,6.892233273954583,25.0,0,0,0,0.0012694218163773,24.032042723631506,0.5576305368358634,79,0,0.0,0.0,0,0.0,0,1,3.78778198400551,8,3,0.8660254037844387,-0.4999999999999998,0,88.0,18.5,16.0,15.5,10.0,8.5,3,2
7,210.0,19,17,2,4,0,0,7.147129807090845,4.521635406041234,7.252220768003553,21.052631578947366,0,0,0,0.0021416334272884,38.05073431241655,0.6354167436551845,113,2,0.0,0.0,2,2.7694201210250227,0,1,12.931520875410714,8,3,0.8660254037844387,-0.4999999999999998,0,87.5,31.0,18.0,15.5,11.0,19.5,3,2
8,240.0,14,14,0,2,0,0,6.379929347976344,5.440208717999706,6.345266745106504,14.285714285714285,0,0,0,0.0016007855039859,28.03738317757009,0.7832300731210471,175,2,0.0,0.0,2,1.362298206634134,0,0,0.0,8,4,0.8660254037844387,-0.4999999999999998,0,89.0,21.5,15.5,20.5,9.5,22.0,3,2
9,270.0,15,15,0,2,0,0,7.2942580654039,4.384237781967982,7.808211002690123,13.333333333333334,0,0,0,0.0016078212440489,30.040053404539385,0.5211935500163751,152,1,0.0,0.0,1,1.3010082421442513,0,2,7.20411986358696,8,4,0.8660254037844387,-0.4999999999999998,0,69.0,15.5,13.5,8.5,7.0,18.0,3,2
10,300.0,24,23,1,3,0,0,8.570924113714277,8.092743198745733,7.134907238628736,12.5,0,0,0,0.0024748667681564,48.06408544726301,0.8332677724230546,325,1,0.0,0.0,1,1.2286960485746774,0,0,0.0,8,5,0.8660254037844387,-0.4999999999999998,0,112.5,29.5,25.5,23.5,11.0,20.0,3,2
11,330.0,17,15,2,2,0,0,7.355033231219991,7.224837575392266,6.811829726069905,11.76470588235294,0,0,0,0.0018232114934959,34.04539385847797,0.6769559277508772,224,2,0.48,0.48,2,1.0763536451532112,1,1,7.812115105748841,8,5,0.8660254037844387,-0.4999999999999998,0,63.0,15.0,11.5,9.0,7.0,20.0,3,2
12,360.0,13,11,2,2,0,0,6.328357572824783,5.896449263158295,6.712268951844591,15.384615384615383,0,0,0,0.0015601788326443,26.0347129506008,0.5427391803612991,178,5,10.04,10.04,5,1.283220777896113,1,3,6.7584874012105125,8,6,0.8660254037844387,-0.4999999999999998,0,109.5,37.5,21.5,24.5,14.5,30.0,3,2
13,390.0,19,19,0,2,0,0,8.473528685421387,10.38846897378531,7.130178857544128,10.526315789473683,0,0,0,0.0020176673706334,38.05073431241655,0.6243698311194719,320,4,8.16,8.16,4,1.2076756042477157,1,2,4.408978416063415,8,6,0.8660254037844387,-0.4999999999999998,0,72.5,15.5,9.0,16.0,7.5,23.0,3,2
14,420.0,17,17,0,2,0,0,9.083398474188572,12.996599354885108,7.757835959267159,11.76470588235294,0,0,0,0.0017996059643374,34.04539385847797,0.4961083691386749,220,2,12.84,12.84,2,0.6667341069607597,1,0,0.0,8,7,0.8660254037844387,-0.4999999999999998,0,60.0,11.5,8.0,11.0,8.0,22.5,3,2
