time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,stopped_pedestrians,ped_crossing_demand,avg_ped_speed,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id
0,0.0,20,20,0,16,0,0,0.4091607230792134,0.0,1.6590246516884386,80.0,0,0,0,0.007915848960357484,40.05340453938585,0.0874197238995369,63,14,1.24,1.52,2,14,1.1777124236955085,7,3.228162429487969,8,0,0.8660254037844387,-0.4999999999999998,23
1,30.0,18,18,0,16,0,0,0.10793391352718715,0.0,0.7501479098734358,88.88888888888889,0,0,0,0.007375646814920052,36.048064085447265,0.018364731694788364,0,5,0.92,0.92,1,5,0.9344528302058233,3,2.956349293334076,8,0,0.8660254037844387,-0.4999999999999998,23
2,60.0,25,25,0,16,0,0,0.5996266630602397,0.0,1.810956322957619,64.0,0,0,0,0.009931455198158395,50.06675567423231,0.12582605006658046,51,4,0.0,0.0,0,4,1.2478853137164145,3,2.8416865040174675,8,1,0.8660254037844387,-0.4999999999999998,23
3,90.0,26,26,0,16,0,0,0.8629382385207788,0.0,2.1437274903976733,61.53846153846154,0,0,0,0.010218534576049362,52.0694259012016,0.14638018896667884,25,8,2.92,2.92,1,8,1.4859466185938737,5,2.58220343543658,8,1,0.8660254037844387,-0.4999999999999998,23
4,120.0,30,30,0,18,0,0,0.9334557486039765,0.0,2.178840827357827,60.0,0,0,0,0.0118261762337377,60.08010680907877,0.19872068839045923,179,9,0.0,0.0,0,9,1.4941753658074748,2,6.3589088097236495,8,2,0.8660254037844387,-0.4999999999999998,23
5,150.0,24,24,0,18,0,0,0.6601403973385466,0.0,2.0254849288417995,75.0,0,0,0,0.008478783147317726,48.06408544726301,0.12051833478566763,134,8,0.0,0.0,0,8,1.436164704043492,6,4.573584975000392,8,2,0.8660254037844387,-0.4999999999999998,23
6,180.0,22,22,0,16,0,0,0.4403748273818821,0.0,1.6503241698003406,72.72727272727273,0,0,0,0.008795113618474737,44.05874499332443,0.08505957524086431,103,8,0.8,0.8,1,8,1.3783871093207067,9,3.5966783741178383,8,3,0.8660254037844387,-0.4999999999999998,23
7,210.0,21,21,0,17,0,0,0.32478907057598244,0.0,1.396861817285122,80.95238095238095,0,0,0,0.008604921284073395,42.05607476635514,0.05244093213618831,3,8,0.4,0.4,1,8,1.2664823672833125,5,3.668757606220521,8,3,0.8660254037844387,-0.4999999999999998,23
8,240.0,25,25,0,20,0,0,0.6495617433180931,0.0,1.6857471763758483,80.0,0,0,0,0.008728785091048467,50.06675567423231,0.17015853491086996,148,7,3.44,6.6,2,7,1.3421897889275762,10,3.918467458681049,8,4,0.8660254037844387,-0.4999999999999998,23
9,270.0,23,23,0,16,0,0,0.6613089197576184,0.0,1.9794758766016158,69.56521739130434,0,0,0,0.009133087744326486,46.061415220293725,0.09191110156767981,52,3,1.08,1.08,1,3,1.2986650546618745,7,4.472158296697488,8,4,0.8660254037844387,-0.4999999999999998,23
