time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,stopped_pedestrians,ped_crossing_demand,avg_ped_speed,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id
0,0.0,22,22,0,19,0,0,0.5422383079228599,0.0,1.7844393661926168,86.36363636363636,0,0,0,0.009640683089328294,44.05874499332443,0.10050840382937233,0,11,0.0,0.0,0,11,1.3535198775073236,4,6.0366629912243,8,0,0.8660254037844387,-0.4999999999999998,24
1,30.0,26,26,0,20,0,0,0.6932720681187133,0.0,1.70031331456385,76.92307692307693,0,0,0,0.011607296606730436,52.0694259012016,0.11903603664083023,0,13,5.699999999999999,8.44,2,13,1.3184370580027105,11,3.5772239282098885,8,0,0.8660254037844387,-0.4999999999999998,24
2,60.0,25,25,0,19,0,0,0.6199092343382491,0.0,1.6666552181678962,76.0,0,0,0,0.01112417735029731,50.06675567423231,0.12033494422219507,18,15,3.86,9.36,4,15,1.380625502987888,9,4.4737592065380225,8,1,0.8660254037844387,-0.4999999999999998,24
3,90.0,23,23,0,17,0,0,0.7400356248090427,0.0,2.244403356597374,73.91304347826086,0,0,0,0.008686627903976413,46.061415220293725,0.1275855626968871,31,14,6.928,23.4,5,14,1.1447518799468002,4,6.188975954944956,8,1,0.8660254037844387,-0.4999999999999998,24
4,120.0,16,16,0,15,0,0,0.08836017952486629,0.0,0.8784068532869906,93.75,0,0,0,0.007231211619003821,32.04272363150868,0.012183581179164784,0,10,16.72,30.0,3,10,1.0847794190868947,10,5.213687682972478,8,2,0.8660254037844387,-0.4999999999999998,24
5,150.0,21,21,0,17,0,0,0.6859286103079598,0.0,2.089931309332775,80.95238095238095,0,0,0,0.009301357637639928,42.05607476635514,0.13706314039049658,144,7,12.519999999999998,30.0,3,7,0.8969002073890386,8,3.7324180037136974,8,2,0.8660254037844387,-0.4999999999999998,24
6,180.0,20,20,0,14,0,0,0.4771215148321208,0.0,1.5274037201992003,70.0,0,0,0,0.008870331526958626,40.05340453938585,0.0859463463046127,5,8,9.34,17.4,2,8,1.1357840591174866,4,2.8786814750761893,8,3,0.8660254037844387,-0.4999999999999998,24
7,210.0,21,21,0,18,0,0,0.4922846533726433,0.0,1.6529709025043595,85.71428571428571,0,0,0,0.009357477756793263,42.05607476635514,0.14551560394137758,34,19,1.28,1.68,2,19,1.3951929025966983,14,4.376076381858255,8,3,0.8660254037844387,-0.4999999999999998,24
8,240.0,19,19,0,16,0,0,0.4135912586290884,0.0,1.4205099678252568,84.21052631578947,0,0,0,0.00872739808274347,38.05073431241655,0.12017974839874256,0,9,0.52,0.52,1,9,1.5295141326991288,15,4.4670899096413965,8,4,0.8660254037844387,-0.4999999999999998,24
9,270.0,19,19,0,14,0,0,0.6617719780744356,0.0,2.0417102214557015,73.68421052631578,0,0,0,0.007239709080605682,38.05073431241655,0.16009110109943744,226,5,0.32,0.32,1,5,1.3162240601961734,6,6.7979550341370505,8,4,0.8660254037844387,-0.4999999999999998,24
