time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,stopped_pedestrians,ped_crossing_demand,avg_ped_speed,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id
0,0.0,10,9,1,5,0,0,1.2112343365111347,0.0,3.4295783523145187,50.0,0,0,0,0.004384987637319663,20.026702269692926,0.1048410144017804,0,13,3.56,3.56,1,13,1.4355467741142705,2,4.418379438931924,8,0,0.8660254037844387,-0.4999999999999998,16
1,30.0,18,17,1,10,0,0,1.9872487712214881,0.0,3.5473431028658053,55.55555555555556,0,0,0,0.007693943025369663,36.048064085447265,0.3985162750686896,51,11,11.08,11.08,1,11,1.3924176941401243,2,4.014433093291352,8,0,0.8660254037844387,-0.4999999999999998,16
2,60.0,16,16,0,11,0,0,1.5283889904961516,0.0,2.956584361997989,68.75,0,0,0,0.006722316333703195,32.04272363150868,0.2978954363612742,15,10,2.12,2.12,1,10,1.5075897721515539,1,3.883097031243478,8,1,0.8660254037844387,-0.4999999999999998,16
3,90.0,16,16,0,7,0,0,1.9110690274175188,0.0,3.3893799116648267,43.75,0,0,0,0.006870303858613668,32.04272363150868,0.36015968103420165,23,6,1.24,1.24,1,6,1.4240998794089663,2,2.373798302226491,8,1,0.8660254037844387,-0.4999999999999998,16
4,120.0,15,15,0,7,0,0,1.2476405832747823,0.0,2.651264393659581,46.666666666666664,0,0,0,0.0074306977978070765,30.040053404539385,0.3245931683696688,42,7,3.3600000000000003,5.32,2,7,1.3523711388431603,3,5.099520528766866,8,2,0.8660254037844387,-0.4999999999999998,16
5,150.0,14,14,0,7,0,0,1.8194224706636117,0.0,3.7968524780456443,50.0,0,0,0,0.006170983215950599,28.037383177570092,0.24566622014673586,0,6,10.92,10.92,1,6,1.1330857765147806,3,5.8467893444959795,8,2,0.8660254037844387,-0.4999999999999998,16
6,180.0,15,15,0,7,0,0,1.8236319176696545,0.0,3.6120503207610706,46.666666666666664,0,0,0,0.0065649854125408155,30.040053404539385,0.3191085593658662,54,9,7.2700000000000005,24.68,4,9,1.0837149996389166,1,6.386658465777605,8,3,0.8660254037844387,-0.4999999999999998,16
7,210.0,16,16,0,6,0,0,1.4717544639310662,0.0,3.3942367957540283,37.5,0,0,0,0.0071384719583478026,32.04272363150868,0.23965291795833388,0,5,1.64,1.64,1,5,1.5217093462036804,0,0.0,8,3,0.8660254037844387,-0.4999999999999998,16
8,240.0,23,20,3,10,0,0,2.2768848008485634,0.002262918469587449,4.046416667644185,43.47826086956522,0,0,0,0.010768324459362707,46.061415220293725,0.3436658272101081,2,3,0.0,0.0,0,3,1.510525353264213,1,4.325976296840984,8,4,0.8660254037844387,-0.4999999999999998,16
9,270.0,17,17,0,11,0,0,1.0892177073665736,0.009667106478365614,2.16401235449727,64.70588235294117,0,0,0,0.007532089175244735,34.04539385847797,0.362541726581436,77,3,0.0,0.0,0,3,1.711681647150671,4,4.508507408126196,8,4,0.8660254037844387,-0.4999999999999998,16
10,300.0,16,16,0,6,0,0,1.443927024152532,0.0,3.1820101801311544,37.5,0,0,0,0.007183396771161608,32.04272363150868,0.27391266019364685,11,3,0.0,0.0,0,3,1.4622827127966527,2,4.783439363535025,8,5,0.8660254037844387,-0.4999999999999998,16
11,330.0,15,15,0,6,0,0,2.0696406597476575,0.0,3.9910718323833176,40.0,0,0,0,0.007812815075782164,30.040053404539385,0.2883271713437031,17,2,0.0,0.0,0,2,1.3530500650459125,0,0.0,8,5,0.8660254037844387,-0.4999999999999998,16
12,360.0,12,12,0,5,0,0,2.004587596779343,0.0,4.439177383518584,41.66666666666667,0,0,0,0.005564494690059105,24.032042723631506,0.11571374725586936,3,2,0.0,0.0,0,2,1.0397914862528803,1,3.951887191604481,8,6,0.8660254037844387,-0.4999999999999998,16
13,390.0,14,14,0,7,0,0,1.6490715615003904,0.0,3.7724613962632163,50.0,0,0,0,0.006521528771857705,28.037383177570092,0.18901339601623662,2,6,3.04,3.04,1,6,1.3337181782920313,2,4.3835131712654345,8,6,0.8660254037844387,-0.4999999999999998,16
14,420.0,16,16,0,9,0,0,1.3290623442922147,0.0,3.075027320548954,56.25,0,0,0,0.0074590726673151335,32.04272363150868,0.3184569151534583,99,6,1.1,1.72,2,6,1.488194764590692,3,4.6750399672926575,8,7,0.8660254037844387,-0.4999999999999998,16
15,450.0,12,12,0,5,0,0,1.1967963740501995,0.0,2.90146431518504,41.66666666666667,0,0,0,0.006614521089764283,24.032042723631506,0.25738081219482584,86,9,0.24,0.24,1,9,1.3872724835254595,3,3.965786455879238,8,7,0.8660254037844387,-0.4999999999999998,16
16,480.0,16,16,0,5,0,0,2.912263852403704,0.0,4.631210320044662,31.25,0,0,0,0.007513259301476148,32.04272363150868,0.31324393542825163,28,4,0.0,0.0,0,4,1.2807612873525236,1,2.5085546017153177,8,8,0.8660254037844387,-0.4999999999999998,16
17,510.0,10,10,0,5,0,0,1.3794506285591766,0.0,3.5883366240709935,50.0,0,0,0,0.004960442747145579,20.026702269692926,0.11066998762110956,0,4,0.0,0.0,0,4,1.306702270534557,2,5.2962886177589805,8,8,0.8660254037844387,-0.4999999999999998,16
18,540.0,10,10,0,5,0,0,1.1845669026656858,0.0,3.4707742790913962,50.0,0,0,0,0.004743853135600968,20.026702269692926,0.12977064185338907,8,3,0.0,0.0,0,3,1.2562992624158407,3,6.115075268000018,8,9,0.8660254037844387,-0.4999999999999998,16
