time_bin,timestamp,total_vehicles,car_count,truck_count,total_stopped_vehicles,avg_queue_length,max_queue_length,avg_speed,median_speed,speed_std,percent_stopped,avg_lane_occupancy,max_lane_occupancy,num_active_lanes,traffic_density,flow_rate,avg_acceleration,harsh_braking_count,pedestrian_count,avg_ped_waiting_time,max_ped_waiting_time,ped_crossing_demand,avg_ped_speed,stopped_pedestrians,bicycle_count,avg_bicycle_speed,hour_of_day,minute_of_hour,time_of_day_sin,time_of_day_cos,recording_id
0,0.0,10,9,1,6,0,0,1.3071702003522288,0.0,3.718687372843336,60.0,0,0,0,0.0031807180412096784,20.026702269692926,0.10590754820188931,6,0,0.0,0.0,0,0.0,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,30
1,30.0,10,10,0,6,0,0,1.4497996474139763,0.0,4.114075191173473,60.0,0,0,0,0.0031889797116901814,20.026702269692926,0.05038644578462156,0,1,0.0,0.0,1,1.6197708217413436,0,0,0.0,8,0,0.8660254037844387,-0.4999999999999998,30
2,60.0,14,13,1,7,0,0,1.734802437450541,0.0,3.8946784317526904,50.0,0,0,0,0.004400686891247163,28.037383177570092,0.20774054895413113,0,1,0.0,0.0,1,1.5634483860258601,0,3,7.427509911795969,8,1,0.8660254037844387,-0.4999999999999998,30
3,90.0,20,19,1,9,0,0,2.8205668108599458,0.0,5.199011934125674,45.0,0,0,0,0.0062922769923413465,40.05340453938585,0.2863632937939946,79,1,0.0,0.0,1,1.6579107020604023,0,1,12.370854446627899,8,1,0.8660254037844387,-0.4999999999999998,30
4,120.0,18,18,0,10,0,0,1.9526513527310914,0.0,3.9323300074379017,55.55555555555556,0,0,0,0.00569246991882717,36.048064085447265,0.38450736380152994,134,1,0.0,0.0,1,1.6493817845108918,0,0,0.0,8,2,0.8660254037844387,-0.4999999999999998,30
5,150.0,22,21,1,8,0,0,3.33092239442402,0.0,5.584895763113208,36.36363636363637,0,0,0,0.006947533374817137,44.05874499332443,0.29877721524031037,154,1,0.0,0.0,1,1.0411031026316728,0,0,0.0,8,2,0.8660254037844387,-0.4999999999999998,30
6,180.0,21,20,1,6,0,0,2.8598716161291486,0.0,5.223459772022614,28.57142857142857,0,0,0,0.006652589471491448,42.05607476635514,0.16384410728900067,10,1,0.0,0.0,1,1.316668588982116,0,1,4.692789680613393,8,3,0.8660254037844387,-0.4999999999999998,30
7,210.0,25,25,0,7,0,0,3.2458223898131484,0.0,5.354167040512863,28.000000000000004,0,0,0,0.00801173152695166,50.06675567423231,0.3446901919790178,8,1,0.0,0.0,1,1.3733689487954686,0,0,0.0,8,3,0.8660254037844387,-0.4999999999999998,30
8,240.0,19,19,0,7,0,0,2.7656291254837946,0.0,4.758848360850926,36.84210526315789,0,0,0,0.006018197896709356,38.05073431241655,0.27221406643716645,45,0,0.0,0.0,0,0.0,0,1,12.676569923141496,8,4,0.8660254037844387,-0.4999999999999998,30
9,270.0,18,18,0,6,0,0,3.5394031606358967,0.0,6.029389894353595,33.33333333333333,0,0,0,0.0056541494344509525,36.048064085447265,0.09778164944608513,4,0,0.0,0.0,0,0.0,0,0,0.0,8,4,0.8660254037844387,-0.4999999999999998,30
10,300.0,13,13,0,6,0,0,1.4306979269436868,0.0,4.243863071085918,46.15384615384615,0,0,0,0.00413771376232079,26.0347129506008,0.07030363821873964,0,0,0.0,0.0,0,0.0,0,1,12.726449631631509,8,5,0.8660254037844387,-0.4999999999999998,30
11,330.0,22,22,0,8,0,0,2.762736417352947,0.0,4.770832587091791,36.36363636363637,0,0,0,0.006942513160869905,44.05874499332443,0.3937237590749269,62,0,0.0,0.0,0,0.0,0,0,0.0,8,5,0.8660254037844387,-0.4999999999999998,30
12,360.0,17,17,0,7,0,0,2.2796302343907398,0.0,4.384587995100179,41.17647058823529,0,0,0,0.005343283544582786,34.04539385847797,0.3279890306950088,53,0,0.0,0.0,0,0.0,0,1,8.892734603148478,8,6,0.8660254037844387,-0.4999999999999998,30
13,390.0,18,18,0,7,0,0,2.477253927014845,0.0,4.918694079890676,38.88888888888889,0,0,0,0.005655104676578585,36.048064085447265,0.21928414459421589,0,1,0.0,0.0,1,1.021345875107539,0,1,4.974684353560426,8,6,0.8660254037844387,-0.4999999999999998,30
14,420.0,21,21,0,9,0,0,2.9803787662441112,0.0,5.172772330078103,42.857142857142854,0,0,0,0.00665833030836645,42.05607476635514,0.3864953197634027,115,2,0.0,0.0,2,1.3194528455752084,0,1,7.2368844570593,8,7,0.8660254037844387,-0.4999999999999998,30
15,450.0,23,22,1,6,0,0,3.5621713662539416,0.0,5.513332011569718,26.08695652173913,0,0,0,0.00724804284328128,46.061415220293725,0.21705846347973995,55,2,0.0,0.0,2,1.5963006001527698,0,0,0.0,8,7,0.8660254037844387,-0.4999999999999998,30
16,480.0,24,24,0,6,0,0,3.7244822681039844,0.0,5.669243167514033,25.0,0,0,0,0.007645771213432653,48.06408544726301,0.25172613075799066,0,1,0.0,0.0,1,1.7855760685856024,0,0,0.0,8,8,0.8660254037844387,-0.4999999999999998,30
